Timestamp,val,discharge_Chilled_Water_Cool_Valve_Cmd_AHU_01_B1_Copy
2023-06-27T10:10:00+04:00 Dubai,24.225589752197266°C,54.373958587646484%
2023-06-27T10:15:00+04:00 Dubai,24.225589752197266°C,54.373958587646484%
2023-06-27T10:20:00+04:00 Dubai,24.225589752197266°C,54.373958587646484%
2023-06-27T10:25:00+04:00 Dubai,24.225589752197266°C,54.373958587646484%
2023-06-27T10:30:00+04:00 Dubai,24.225589752197266°C,54.373958587646484%
2023-06-27T10:35:00+04:00 Dubai,24.225589752197266°C,54.373958587646484%
2023-06-27T10:40:00+04:00 Dubai,24.225589752197266°C,54.373958587646484%
2023-06-27T10:45:00+04:00 Dubai,24.225589752197266°C,54.373958587646484%
2023-06-27T10:50:00+04:00 Dubai,24.225589752197266°C,54.373958587646484%
2023-06-27T10:55:00+04:00 Dubai,24.374591827392578°C,54.373958587646484%
2023-06-27T11:00:00+04:00 Dubai,24.374591827392578°C,54.373958587646484%
2023-06-27T11:05:00+04:00 Dubai,24.374591827392578°C,54.373958587646484%
2023-06-27T11:10:00+04:00 Dubai,24.374591827392578°C,54.373958587646484%
2023-06-27T11:15:00+04:00 Dubai,24.374591827392578°C,54.373958587646484%
2023-06-27T11:20:00+04:00 Dubai,24.374591827392578°C,54.373958587646484%
2023-06-27T11:25:00+04:00 Dubai,24.374591827392578°C,54.373958587646484%
2023-06-27T11:30:00+04:00 Dubai,24.374591827392578°C,54.373958587646484%
2023-06-27T11:35:00+04:00 Dubai,24.374591827392578°C,54.373958587646484%
2023-06-27T11:40:00+04:00 Dubai,24.374591827392578°C,54.373958587646484%
2023-06-27T11:45:00+04:00 Dubai,24.374591827392578°C,54.373958587646484%
2023-06-27T11:50:00+04:00 Dubai,24.374591827392578°C,54.373958587646484%
2023-06-27T11:55:00+04:00 Dubai,24.374591827392578°C,54.373958587646484%
2023-06-27T12:00:00+04:00 Dubai,24.374591827392578°C,54.373958587646484%
2023-06-27T12:05:00+04:00 Dubai,24.374591827392578°C,54.373958587646484%
2023-06-27T12:10:00+04:00 Dubai,24.374591827392578°C,54.373958587646484%
2023-06-27T12:15:00+04:00 Dubai,24.374591827392578°C,54.373958587646484%
2023-06-27T12:20:00+04:00 Dubai,24.374591827392578°C,54.373958587646484%
2023-06-27T12:25:00+04:00 Dubai,24.374591827392578°C,54.373958587646484%
2023-06-27T12:30:00+04:00 Dubai,24.374591827392578°C,54.373958587646484%
2023-06-27T12:35:00+04:00 Dubai,24.374591827392578°C,54.373958587646484%
2023-06-27T12:40:00+04:00 Dubai,24.374591827392578°C,54.373958587646484%
2023-06-27T12:45:00+04:00 Dubai,24.374591827392578°C,54.373958587646484%
2023-06-27T12:50:00+04:00 Dubai,24.374591827392578°C,54.373958587646484%
2023-06-27T12:55:00+04:00 Dubai,24.374591827392578°C,54.373958587646484%
2023-06-27T13:00:00+04:00 Dubai,24.374591827392578°C,54.373958587646484%
2023-06-27T13:05:00+04:00 Dubai,24.374591827392578°C,54.373958587646484%
2023-06-27T13:10:00+04:00 Dubai,24.374591827392578°C,54.373958587646484%
2023-06-27T13:15:00+04:00 Dubai,24.374591827392578°C,54.373958587646484%
2023-06-27T13:20:00+04:00 Dubai,24.374591827392578°C,54.373958587646484%
2023-06-27T13:25:00+04:00 Dubai,24.374591827392578°C,54.373958587646484%
2023-06-27T13:30:00+04:00 Dubai,24.374591827392578°C,54.373958587646484%
2023-06-27T13:35:00+04:00 Dubai,24.374591827392578°C,54.373958587646484%
2023-06-27T13:40:00+04:00 Dubai,24.374591827392578°C,54.373958587646484%
2023-06-27T13:45:00+04:00 Dubai,24.374591827392578°C,54.373958587646484%
2023-06-27T13:50:00+04:00 Dubai,24.374591827392578°C,54.373958587646484%
2023-06-27T13:55:00+04:00 Dubai,24.374591827392578°C,54.373958587646484%
2023-06-27T14:00:00+04:00 Dubai,24.374591827392578°C,54.373958587646484%
2023-06-27T14:05:00+04:00 Dubai,24.374591827392578°C,54.373958587646484%
2023-06-27T14:10:00+04:00 Dubai,24.374591827392578°C,54.373958587646484%
2023-06-27T14:15:00+04:00 Dubai,24.374591827392578°C,54.373958587646484%
2023-06-27T14:20:00+04:00 Dubai,24.374591827392578°C,54.373958587646484%
2023-06-27T14:25:00+04:00 Dubai,24.374591827392578°C,54.373958587646484%
2023-06-27T14:30:00+04:00 Dubai,24.374591827392578°C,54.373958587646484%
2023-06-27T14:35:00+04:00 Dubai,24.374591827392578°C,54.373958587646484%
2023-06-27T14:40:00+04:00 Dubai,24.374591827392578°C,54.373958587646484%
2023-06-27T14:45:00+04:00 Dubai,24.374591827392578°C,54.373958587646484%
2023-06-27T14:50:00+04:00 Dubai,24.374591827392578°C,54.373958587646484%
2023-06-27T14:55:00+04:00 Dubai,24.374591827392578°C,54.373958587646484%
2023-06-27T15:00:00+04:00 Dubai,24.374591827392578°C,54.373958587646484%
2023-06-27T15:05:00+04:00 Dubai,24.374591827392578°C,54.373958587646484%
2023-06-27T15:10:00+04:00 Dubai,24.374591827392578°C,54.373958587646484%
2023-06-27T15:15:00+04:00 Dubai,24.374591827392578°C,54.373958587646484%
2023-06-27T15:20:00+04:00 Dubai,24.374591827392578°C,54.373958587646484%
2023-06-27T15:25:00+04:00 Dubai,24.374591827392578°C,54.373958587646484%
2023-06-27T15:30:00+04:00 Dubai,24.374591827392578°C,54.373958587646484%
2023-06-27T15:35:00+04:00 Dubai,24.374591827392578°C,54.373958587646484%
2023-06-27T15:40:00+04:00 Dubai,24.374591827392578°C,54.373958587646484%
2023-06-27T15:45:00+04:00 Dubai,24.374591827392578°C,54.373958587646484%
2023-06-27T15:50:00+04:00 Dubai,24.374591827392578°C,54.373958587646484%
2023-06-27T15:55:00+04:00 Dubai,24.374591827392578°C,54.373958587646484%
2023-06-27T16:00:00+04:00 Dubai,24.374591827392578°C,54.373958587646484%
2023-06-27T16:05:00+04:00 Dubai,24.374591827392578°C,54.373958587646484%
2023-06-27T16:10:00+04:00 Dubai,24.374591827392578°C,54.373958587646484%
2023-06-27T16:15:00+04:00 Dubai,24.374591827392578°C,54.373958587646484%
2023-06-27T16:20:00+04:00 Dubai,24.374591827392578°C,54.373958587646484%
2023-06-27T16:25:00+04:00 Dubai,24.374591827392578°C,54.373958587646484%
2023-06-27T16:30:00+04:00 Dubai,24.374591827392578°C,54.373958587646484%
2023-06-27T16:35:00+04:00 Dubai,24.374591827392578°C,54.373958587646484%
2023-06-27T16:40:00+04:00 Dubai,24.374591827392578°C,53.252952575683594%
2023-06-27T16:45:00+04:00 Dubai,24.374591827392578°C,53.252952575683594%
2023-06-27T16:50:00+04:00 Dubai,24.374591827392578°C,52.24066162109375%
2023-06-27T16:55:00+04:00 Dubai,24.374591827392578°C,51.163795471191406%
2023-06-27T17:00:00+04:00 Dubai,24.374591827392578°C,49.96915054321289%
2023-06-27T17:05:00+04:00 Dubai,24.374591827392578°C,51.044525146484375%
2023-06-27T17:10:00+04:00 Dubai,24.374591827392578°C,51.044525146484375%
2023-06-27T17:15:00+04:00 Dubai,24.374591827392578°C,51.044525146484375%
2023-06-27T17:20:00+04:00 Dubai,24.374591827392578°C,51.044525146484375%
2023-06-27T17:25:00+04:00 Dubai,24.374591827392578°C,51.044525146484375%
2023-06-27T17:30:00+04:00 Dubai,24.374591827392578°C,51.044525146484375%
2023-06-27T17:35:00+04:00 Dubai,24.374591827392578°C,51.044525146484375%
2023-06-27T17:40:00+04:00 Dubai,24.374591827392578°C,49.97099685668945%
2023-06-27T17:45:00+04:00 Dubai,24.374591827392578°C,49.97099685668945%
2023-06-27T17:50:00+04:00 Dubai,24.374591827392578°C,48.94108581542969%
2023-06-27T17:55:00+04:00 Dubai,24.374591827392578°C,47.92875671386719%
2023-06-27T18:00:00+04:00 Dubai,24.374591827392578°C,45.345298767089844%
2023-06-27T18:05:00+04:00 Dubai,24.374591827392578°C,46.73640823364258%
2023-06-27T18:10:00+04:00 Dubai,24.225505828857422°C,46.73640823364258%
2023-06-27T18:15:00+04:00 Dubai,24.225505828857422°C,46.73640823364258%
2023-06-27T18:20:00+04:00 Dubai,24.225505828857422°C,46.73640823364258%
2023-06-27T18:25:00+04:00 Dubai,24.225505828857422°C,45.684288024902344%
2023-06-27T18:30:00+04:00 Dubai,24.225505828857422°C,44.67599105834961%
2023-06-27T18:35:00+04:00 Dubai,24.225505828857422°C,43.538875579833984%
2023-06-27T18:40:00+04:00 Dubai,24.076419830322266°C,42.17523956298828%
2023-06-27T18:45:00+04:00 Dubai,24.076419830322266°C,40.97895812988281%
2023-06-27T18:50:00+04:00 Dubai,24.076419830322266°C,42.26414489746094%
2023-06-27T18:55:00+04:00 Dubai,24.076419830322266°C,42.26414489746094%
2023-06-27T19:00:00+04:00 Dubai,24.076419830322266°C,42.26414489746094%
2023-06-27T19:05:00+04:00 Dubai,23.927762985229492°C,0%
2023-06-27T19:10:00+04:00 Dubai,23.927762985229492°C,0%
2023-06-27T19:15:00+04:00 Dubai,23.927762985229492°C,0%
2023-06-27T19:20:00+04:00 Dubai,23.927762985229492°C,0%
2023-06-27T19:25:00+04:00 Dubai,23.927762985229492°C,36.973045349121094%
2023-06-27T19:30:00+04:00 Dubai,23.927762985229492°C,29.956918716430664%
2023-06-27T19:35:00+04:00 Dubai,23.927762985229492°C,38.47114181518555%
2023-06-27T19:40:00+04:00 Dubai,23.927762985229492°C,39.341270446777344%
2023-06-27T19:45:00+04:00 Dubai,23.927762985229492°C,39.341270446777344%
2023-06-27T19:50:00+04:00 Dubai,23.927762985229492°C,42.89364242553711%
2023-06-27T19:55:00+04:00 Dubai,23.927762985229492°C,45.54096984863281%
2023-06-27T20:00:00+04:00 Dubai,23.927762985229492°C,42.25445556640625%
2023-06-27T20:05:00+04:00 Dubai,23.927762985229492°C,41.18316650390625%
2023-06-27T20:10:00+04:00 Dubai,23.927762985229492°C,41.18316650390625%
2023-06-27T20:15:00+04:00 Dubai,23.927762985229492°C,41.18316650390625%
2023-06-27T20:20:00+04:00 Dubai,23.927762985229492°C,41.18316650390625%
2023-06-27T20:25:00+04:00 Dubai,23.927762985229492°C,41.18316650390625%
2023-06-27T20:30:00+04:00 Dubai,23.927762985229492°C,41.18316650390625%
2023-06-27T20:35:00+04:00 Dubai,23.927762985229492°C,41.18316650390625%
2023-06-27T20:40:00+04:00 Dubai,23.927762985229492°C,41.18316650390625%
2023-06-27T20:45:00+04:00 Dubai,23.927762985229492°C,41.18316650390625%
2023-06-27T20:50:00+04:00 Dubai,23.927762985229492°C,41.18316650390625%
2023-06-27T20:55:00+04:00 Dubai,23.927762985229492°C,41.18316650390625%
2023-06-27T21:00:00+04:00 Dubai,23.927762985229492°C,41.18316650390625%
2023-06-27T21:05:00+04:00 Dubai,23.927762985229492°C,41.18316650390625%
2023-06-27T21:10:00+04:00 Dubai,23.927762985229492°C,41.18316650390625%
2023-06-27T21:15:00+04:00 Dubai,23.927762985229492°C,41.18316650390625%
2023-06-27T21:20:00+04:00 Dubai,23.927762985229492°C,41.18316650390625%
2023-06-27T21:25:00+04:00 Dubai,23.927762985229492°C,41.18316650390625%
2023-06-27T21:30:00+04:00 Dubai,23.927762985229492°C,41.18316650390625%
2023-06-27T21:35:00+04:00 Dubai,23.927762985229492°C,41.18316650390625%
2023-06-27T21:40:00+04:00 Dubai,23.927762985229492°C,41.18316650390625%
2023-06-27T21:45:00+04:00 Dubai,23.927762985229492°C,41.18316650390625%
2023-06-27T21:50:00+04:00 Dubai,23.927762985229492°C,41.18316650390625%
2023-06-27T21:55:00+04:00 Dubai,23.927762985229492°C,41.18316650390625%
2023-06-27T22:00:00+04:00 Dubai,23.927762985229492°C,41.18316650390625%
2023-06-27T22:05:00+04:00 Dubai,23.927762985229492°C,41.18316650390625%
2023-06-27T22:10:00+04:00 Dubai,23.927762985229492°C,41.18316650390625%
2023-06-27T22:15:00+04:00 Dubai,23.927762985229492°C,41.18316650390625%
2023-06-27T22:20:00+04:00 Dubai,23.927762985229492°C,41.18316650390625%
2023-06-27T22:25:00+04:00 Dubai,23.927762985229492°C,41.18316650390625%
2023-06-27T22:30:00+04:00 Dubai,23.927762985229492°C,41.18316650390625%
2023-06-27T22:35:00+04:00 Dubai,23.927762985229492°C,41.18316650390625%
2023-06-27T22:40:00+04:00 Dubai,23.927762985229492°C,41.18316650390625%
2023-06-27T22:45:00+04:00 Dubai,23.927762985229492°C,41.18316650390625%
2023-06-27T22:50:00+04:00 Dubai,23.927762985229492°C,41.18316650390625%
2023-06-27T22:55:00+04:00 Dubai,23.927762985229492°C,41.18316650390625%
2023-06-27T23:00:00+04:00 Dubai,23.927762985229492°C,41.18316650390625%
2023-06-27T23:05:00+04:00 Dubai,23.927762985229492°C,41.18316650390625%
2023-06-27T23:10:00+04:00 Dubai,23.927762985229492°C,41.18316650390625%
2023-06-27T23:15:00+04:00 Dubai,23.927762985229492°C,41.18316650390625%
2023-06-27T23:20:00+04:00 Dubai,23.927762985229492°C,41.18316650390625%
2023-06-27T23:25:00+04:00 Dubai,23.927762985229492°C,41.18316650390625%
2023-06-27T23:30:00+04:00 Dubai,23.927762985229492°C,41.18316650390625%
2023-06-27T23:35:00+04:00 Dubai,23.927762985229492°C,41.18316650390625%
2023-06-27T23:40:00+04:00 Dubai,23.927762985229492°C,41.18316650390625%
2023-06-27T23:45:00+04:00 Dubai,23.927762985229492°C,41.18316650390625%
2023-06-27T23:50:00+04:00 Dubai,23.927762985229492°C,41.18316650390625%
2023-06-27T23:55:00+04:00 Dubai,23.927762985229492°C,41.18316650390625%
2023-06-28T00:00:00+04:00 Dubai,23.927762985229492°C,28.864208221435547%
2023-06-28T00:05:00+04:00 Dubai,23.927762985229492°C,27.095611572265625%
2023-06-28T00:10:00+04:00 Dubai,23.927762985229492°C,23.556537628173828%
2023-06-28T00:15:00+04:00 Dubai,23.927762985229492°C,27.898284912109375%
2023-06-28T00:20:00+04:00 Dubai,23.927762985229492°C,27.898284912109375%
2023-06-28T00:25:00+04:00 Dubai,23.927762985229492°C,27.898284912109375%
2023-06-28T00:30:00+04:00 Dubai,23.927762985229492°C,27.898284912109375%
2023-06-28T00:35:00+04:00 Dubai,23.927762985229492°C,27.898284912109375%
2023-06-28T00:40:00+04:00 Dubai,23.927762985229492°C,27.898284912109375%
2023-06-28T00:45:00+04:00 Dubai,23.927762985229492°C,27.898284912109375%
2023-06-28T00:50:00+04:00 Dubai,23.927762985229492°C,27.898284912109375%
2023-06-28T00:55:00+04:00 Dubai,23.927762985229492°C,27.898284912109375%
2023-06-28T01:00:00+04:00 Dubai,23.927762985229492°C,29.154619216918945%
2023-06-28T01:05:00+04:00 Dubai,23.927762985229492°C,31.415576934814453%
2023-06-28T01:10:00+04:00 Dubai,23.927762985229492°C,30.040390014648438%
2023-06-28T01:15:00+04:00 Dubai,23.927762985229492°C,30.040390014648438%
2023-06-28T01:20:00+04:00 Dubai,23.927762985229492°C,30.040390014648438%
2023-06-28T01:25:00+04:00 Dubai,23.927762985229492°C,30.040390014648438%
2023-06-28T01:30:00+04:00 Dubai,23.927762985229492°C,30.040390014648438%
2023-06-28T01:35:00+04:00 Dubai,23.927762985229492°C,30.040390014648438%
2023-06-28T01:40:00+04:00 Dubai,23.927762985229492°C,30.040390014648438%
2023-06-28T01:45:00+04:00 Dubai,23.927762985229492°C,30.040390014648438%
2023-06-28T01:50:00+04:00 Dubai,23.927762985229492°C,30.040390014648438%
2023-06-28T01:55:00+04:00 Dubai,23.77911376953125°C,30.040390014648438%
2023-06-28T02:00:00+04:00 Dubai,23.77911376953125°C,30.040390014648438%
2023-06-28T02:05:00+04:00 Dubai,23.77911376953125°C,30.040390014648438%
2023-06-28T02:10:00+04:00 Dubai,23.77911376953125°C,30.040390014648438%
2023-06-28T02:15:00+04:00 Dubai,23.77911376953125°C,30.040390014648438%
2023-06-28T02:20:00+04:00 Dubai,23.77911376953125°C,30.040390014648438%
2023-06-28T02:25:00+04:00 Dubai,23.77911376953125°C,30.040390014648438%
2023-06-28T02:30:00+04:00 Dubai,23.77911376953125°C,30.040390014648438%
2023-06-28T02:35:00+04:00 Dubai,23.77911376953125°C,30.040390014648438%
2023-06-28T02:40:00+04:00 Dubai,23.77911376953125°C,30.040390014648438%
2023-06-28T02:45:00+04:00 Dubai,23.77911376953125°C,30.040390014648438%
2023-06-28T02:50:00+04:00 Dubai,23.77911376953125°C,30.040390014648438%
2023-06-28T02:55:00+04:00 Dubai,23.77911376953125°C,30.040390014648438%
2023-06-28T03:00:00+04:00 Dubai,23.77911376953125°C,30.040390014648438%
2023-06-28T03:05:00+04:00 Dubai,23.77911376953125°C,30.040390014648438%
2023-06-28T03:10:00+04:00 Dubai,23.77911376953125°C,30.040390014648438%
2023-06-28T03:15:00+04:00 Dubai,23.77911376953125°C,30.040390014648438%
2023-06-28T03:20:00+04:00 Dubai,23.77911376953125°C,30.040390014648438%
2023-06-28T03:25:00+04:00 Dubai,23.77911376953125°C,30.040390014648438%
2023-06-28T03:30:00+04:00 Dubai,23.77911376953125°C,30.040390014648438%
2023-06-28T03:35:00+04:00 Dubai,23.77911376953125°C,30.040390014648438%
2023-06-28T03:40:00+04:00 Dubai,23.77911376953125°C,30.040390014648438%
2023-06-28T03:45:00+04:00 Dubai,23.77911376953125°C,30.040390014648438%
2023-06-28T03:50:00+04:00 Dubai,23.77911376953125°C,30.040390014648438%
2023-06-28T03:55:00+04:00 Dubai,23.77911376953125°C,30.040390014648438%
2023-06-28T04:00:00+04:00 Dubai,23.77911376953125°C,30.040390014648438%
2023-06-28T04:05:00+04:00 Dubai,23.77911376953125°C,30.040390014648438%
2023-06-28T04:10:00+04:00 Dubai,23.77911376953125°C,30.040390014648438%
2023-06-28T04:15:00+04:00 Dubai,23.77911376953125°C,31.387168884277344%
2023-06-28T04:20:00+04:00 Dubai,23.77911376953125°C,31.387168884277344%
2023-06-28T04:25:00+04:00 Dubai,23.77911376953125°C,31.387168884277344%
2023-06-28T04:30:00+04:00 Dubai,23.77911376953125°C,32.42767333984375%
2023-06-28T04:35:00+04:00 Dubai,23.77911376953125°C,32.42767333984375%
2023-06-28T04:40:00+04:00 Dubai,23.77911376953125°C,32.42767333984375%
2023-06-28T04:45:00+04:00 Dubai,23.77911376953125°C,33.431732177734375%
2023-06-28T04:50:00+04:00 Dubai,23.77911376953125°C,33.431732177734375%
2023-06-28T04:55:00+04:00 Dubai,23.77911376953125°C,33.431732177734375%
2023-06-28T05:00:00+04:00 Dubai,23.77911376953125°C,33.431732177734375%
2023-06-28T05:05:00+04:00 Dubai,23.77911376953125°C,33.431732177734375%
2023-06-28T05:10:00+04:00 Dubai,23.77911376953125°C,33.431732177734375%
2023-06-28T05:15:00+04:00 Dubai,23.77911376953125°C,34.428707122802734%
2023-06-28T05:20:00+04:00 Dubai,23.77911376953125°C,34.428707122802734%
2023-06-28T05:25:00+04:00 Dubai,23.77911376953125°C,34.428707122802734%
2023-06-28T05:30:00+04:00 Dubai,23.77911376953125°C,34.428707122802734%
2023-06-28T05:35:00+04:00 Dubai,23.77911376953125°C,35.62994384765625%
2023-06-28T05:40:00+04:00 Dubai,23.77911376953125°C,36.64282989501953%
2023-06-28T05:45:00+04:00 Dubai,23.77911376953125°C,36.64282989501953%
2023-06-28T05:50:00+04:00 Dubai,23.77911376953125°C,36.64282989501953%
2023-06-28T05:55:00+04:00 Dubai,23.77911376953125°C,36.64282989501953%
2023-06-28T06:00:00+04:00 Dubai,23.77911376953125°C,36.64282989501953%
2023-06-28T06:05:00+04:00 Dubai,23.77911376953125°C,50.5105094909668%
2023-06-28T06:10:00+04:00 Dubai,23.77911376953125°C,48.97931671142578%
2023-06-28T06:15:00+04:00 Dubai,23.77911376953125°C,48.97931671142578%
2023-06-28T06:20:00+04:00 Dubai,23.77911376953125°C,48.97931671142578%
2023-06-28T06:25:00+04:00 Dubai,23.77911376953125°C,47.87223434448242%
2023-06-28T06:30:00+04:00 Dubai,23.77911376953125°C,47.87223434448242%
2023-06-28T06:35:00+04:00 Dubai,23.77911376953125°C,47.87223434448242%
2023-06-28T06:40:00+04:00 Dubai,23.77911376953125°C,47.87223434448242%
2023-06-28T06:45:00+04:00 Dubai,23.77911376953125°C,47.87223434448242%
2023-06-28T06:50:00+04:00 Dubai,23.77911376953125°C,47.87223434448242%
2023-06-28T06:55:00+04:00 Dubai,23.77911376953125°C,47.87223434448242%
2023-06-28T07:00:00+04:00 Dubai,23.77911376953125°C,47.87223434448242%
2023-06-28T07:05:00+04:00 Dubai,23.77911376953125°C,50.707637786865234%
2023-06-28T07:10:00+04:00 Dubai,23.77911376953125°C,56.49599075317383%
2023-06-28T07:15:00+04:00 Dubai,23.77911376953125°C,59.580684661865234%
2023-06-28T07:20:00+04:00 Dubai,23.77911376953125°C,60.66442108154297%
2023-06-28T07:25:00+04:00 Dubai,23.92776870727539°C,65.14491271972656%
2023-06-28T07:30:00+04:00 Dubai,23.92776870727539°C,67.58135986328125%
2023-06-28T07:35:00+04:00 Dubai,23.92776870727539°C,70.4493637084961%
2023-06-28T07:40:00+04:00 Dubai,24.076513290405273°C,72.67988586425781%
2023-06-28T07:45:00+04:00 Dubai,24.076513290405273°C,75.02542877197266%
2023-06-28T07:50:00+04:00 Dubai,24.076513290405273°C,76.20828247070312%
2023-06-28T07:55:00+04:00 Dubai,24.076513290405273°C,78.56416320800781%
2023-06-28T08:00:00+04:00 Dubai,24.076513290405273°C,79.75872802734375%
2023-06-28T08:05:00+04:00 Dubai,24.2252197265625°C,81.06983184814453%
2023-06-28T08:10:00+04:00 Dubai,24.2252197265625°C,83.21443176269531%
2023-06-28T08:15:00+04:00 Dubai,24.2252197265625°C,84.61734771728516%
2023-06-28T08:20:00+04:00 Dubai,24.2252197265625°C,85.6259765625%
2023-06-28T08:25:00+04:00 Dubai,24.2252197265625°C,87.76555633544922%
2023-06-28T08:30:00+04:00 Dubai,24.374635696411133°C,89.01786041259766%
2023-06-28T08:35:00+04:00 Dubai,24.374635696411133°C,90.19235229492188%
2023-06-28T08:40:00+04:00 Dubai,24.374635696411133°C,91.30886840820312%
2023-06-28T08:45:00+04:00 Dubai,24.374635696411133°C,92.84892272949219%
2023-06-28T08:50:00+04:00 Dubai,24.52387809753418°C,87.51795959472656%
2023-06-28T08:55:00+04:00 Dubai,24.52387809753418°C,76.0687255859375%
2023-06-28T09:00:00+04:00 Dubai,24.52387809753418°C,72.17854309082031%
2023-06-28T09:05:00+04:00 Dubai,24.37436866760254°C,68.05841064453125%
2023-06-28T09:10:00+04:00 Dubai,24.37436866760254°C,65.43340301513672%
2023-06-28T09:15:00+04:00 Dubai,24.37436866760254°C,61.76744842529297%
2023-06-28T09:20:00+04:00 Dubai,24.37436866760254°C,59.48527908325195%
2023-06-28T09:25:00+04:00 Dubai,24.22574806213379°C,57.0040283203125%
2023-06-28T09:30:00+04:00 Dubai,24.22574806213379°C,55.94614791870117%
2023-06-28T09:35:00+04:00 Dubai,24.22574806213379°C,54.77585220336914%
2023-06-28T09:40:00+04:00 Dubai,24.22574806213379°C,53.59053421020508%
2023-06-28T09:45:00+04:00 Dubai,24.22574806213379°C,54.61835479736328%
2023-06-28T09:50:00+04:00 Dubai,24.22574806213379°C,54.61835479736328%
2023-06-28T09:55:00+04:00 Dubai,24.22574806213379°C,54.61835479736328%
2023-06-28T10:00:00+04:00 Dubai,24.22574806213379°C,54.61835479736328%
2023-06-28T10:05:00+04:00 Dubai,24.22574806213379°C,54.61835479736328%
2023-06-28T10:10:00+04:00 Dubai,24.22574806213379°C,54.61835479736328%
2023-06-28T10:15:00+04:00 Dubai,24.22574806213379°C,54.61835479736328%
2023-06-28T10:20:00+04:00 Dubai,24.22574806213379°C,54.61835479736328%
2023-06-28T10:25:00+04:00 Dubai,24.22574806213379°C,54.61835479736328%
2023-06-28T10:30:00+04:00 Dubai,24.22574806213379°C,54.61835479736328%
2023-06-28T10:35:00+04:00 Dubai,24.22574806213379°C,54.61835479736328%
2023-06-28T10:40:00+04:00 Dubai,24.22574806213379°C,54.61835479736328%
2023-06-28T10:45:00+04:00 Dubai,24.22574806213379°C,54.61835479736328%
2023-06-28T10:50:00+04:00 Dubai,24.22574806213379°C,54.61835479736328%
2023-06-28T10:55:00+04:00 Dubai,24.22574806213379°C,54.61835479736328%
2023-06-28T11:00:00+04:00 Dubai,24.22574806213379°C,54.61835479736328%
2023-06-28T11:05:00+04:00 Dubai,24.22574806213379°C,54.61835479736328%
2023-06-28T11:10:00+04:00 Dubai,24.22574806213379°C,54.61835479736328%
2023-06-28T11:15:00+04:00 Dubai,24.22574806213379°C,54.61835479736328%
2023-06-28T11:20:00+04:00 Dubai,24.22574806213379°C,54.61835479736328%
2023-06-28T11:25:00+04:00 Dubai,24.22574806213379°C,54.61835479736328%
2023-06-28T11:30:00+04:00 Dubai,24.22574806213379°C,54.61835479736328%
2023-06-28T11:35:00+04:00 Dubai,24.22574806213379°C,54.61835479736328%
2023-06-28T11:40:00+04:00 Dubai,24.22574806213379°C,54.61835479736328%
2023-06-28T11:45:00+04:00 Dubai,24.22574806213379°C,54.61835479736328%
2023-06-28T11:50:00+04:00 Dubai,24.22574806213379°C,54.61835479736328%
2023-06-28T11:55:00+04:00 Dubai,24.22574806213379°C,54.61835479736328%
2023-06-28T12:00:00+04:00 Dubai,24.22574806213379°C,54.61835479736328%
2023-06-28T12:05:00+04:00 Dubai,24.22574806213379°C,54.61835479736328%
2023-06-28T12:10:00+04:00 Dubai,24.22574806213379°C,54.61835479736328%
2023-06-28T12:15:00+04:00 Dubai,24.22574806213379°C,54.61835479736328%
2023-06-28T12:20:00+04:00 Dubai,24.22574806213379°C,54.61835479736328%
2023-06-28T12:25:00+04:00 Dubai,24.22574806213379°C,54.61835479736328%
2023-06-28T12:30:00+04:00 Dubai,24.22574806213379°C,54.61835479736328%
2023-06-28T12:35:00+04:00 Dubai,24.22574806213379°C,54.61835479736328%
2023-06-28T12:40:00+04:00 Dubai,24.22574806213379°C,54.61835479736328%
2023-06-28T12:45:00+04:00 Dubai,24.22574806213379°C,54.61835479736328%
2023-06-28T12:50:00+04:00 Dubai,24.22574806213379°C,54.61835479736328%
2023-06-28T12:55:00+04:00 Dubai,24.22574806213379°C,54.61835479736328%
2023-06-28T13:00:00+04:00 Dubai,24.22574806213379°C,54.61835479736328%
2023-06-28T13:05:00+04:00 Dubai,24.22574806213379°C,54.61835479736328%
2023-06-28T13:10:00+04:00 Dubai,24.22574806213379°C,54.61835479736328%
2023-06-28T13:15:00+04:00 Dubai,24.22574806213379°C,54.61835479736328%
2023-06-28T13:20:00+04:00 Dubai,24.22574806213379°C,54.61835479736328%
2023-06-28T13:25:00+04:00 Dubai,24.22574806213379°C,54.61835479736328%
2023-06-28T13:30:00+04:00 Dubai,24.376245498657227°C,54.61835479736328%
2023-06-28T13:35:00+04:00 Dubai,24.376245498657227°C,54.61835479736328%
2023-06-28T13:40:00+04:00 Dubai,24.376245498657227°C,54.61835479736328%
2023-06-28T13:45:00+04:00 Dubai,24.376245498657227°C,54.61835479736328%
2023-06-28T13:50:00+04:00 Dubai,24.376245498657227°C,54.61835479736328%
2023-06-28T13:55:00+04:00 Dubai,24.376245498657227°C,54.61835479736328%
2023-06-28T14:00:00+04:00 Dubai,24.376245498657227°C,54.61835479736328%
2023-06-28T14:05:00+04:00 Dubai,24.376245498657227°C,54.61835479736328%
2023-06-28T14:10:00+04:00 Dubai,24.376245498657227°C,54.61835479736328%
2023-06-28T14:15:00+04:00 Dubai,24.376245498657227°C,54.61835479736328%
2023-06-28T14:20:00+04:00 Dubai,24.376245498657227°C,54.61835479736328%
2023-06-28T14:25:00+04:00 Dubai,24.376245498657227°C,54.61835479736328%
